band,seed,topo,network_size,mechanical_share_mean_naive,mechanical_share_mean,n_episodes_total,n_episodes_included,n_episodes_excluded_zero,n_episodes_excluded_negative,n_episodes_excluded_over1
30-40,200,92,30,0.6276881645370934,0.4276832223035934,30,21,0,1,8
30-40,300,15,36,0.3970749846735113,0.3115255742977234,39,35,0,3,1
30-40,300,19,31,0.6873269965843091,0.3759520753777097,30,23,0,3,4
30-40,300,3,32,6.184644559545321,0.29959827370717435,36,26,0,5,5
30-40,300,32,33,0.66190109052478,0.2547686274208034,30,12,0,13,5
30-40,300,44,34,1.1007154661712237,0.33749028200677844,42,39,0,1,2
30-40,300,50,33,0.8403175451541881,0.12324742978160634,30,20,0,5,5
30-40,300,64,33,0.6766252257707754,0.37458331363601316,60,52,0,2,6
30-40,300,92,30,0.3787631315649077,0.23650572860163824,53,48,0,0,5
80-100,42,10,84,0.8361824833988458,0.17592798834126236,30,22,0,5,3
80-100,42,100,88,1.3813494122500491,0.15033825760194255,48,27,0,19,2
80-100,42,17,92,0.014137603591160224,0.014137603591160224,41,25,0,16,0
80-100,42,18,95,0.6179256190214651,0.16400514214459797,65,41,0,19,5
80-100,42,2,84,0.7169542025216387,0.06470716556890076,78,28,0,43,7
80-100,42,5,85,0.2734414194981311,0.11745458513984107,42,16,0,25,1
80-100,42,67,80,0.10870951762918535,0.10870951762918535,48,38,0,10,0
80-100,42,90,83,0.42970835729194096,0.19251725964114258,48,23,0,21,4
80-100,100,10,84,0.9630496536189249,0.10058673714427475,53,33,0,15,5
80-100,100,100,88,0.5305247279447503,0.13387151584076948,48,39,0,8,1
80-100,100,17,92,0.5116228963454766,0.2514640922382852,30,14,0,15,1
80-100,100,18,95,0.3628160075218895,0.11386106153908007,71,38,0,26,7
80-100,100,2,84,0.32051282051282054,0.18055555555555558,30,12,2,15,1
80-100,100,5,85,0.5898944311050373,0.11021430784358613,42,22,0,19,1
80-100,100,67,80,0.3150603643288377,0.15493508093195077,54,35,0,16,3
80-100,100,90,83,0.4887198758131858,0.16857731288606256,72,57,0,12,3
80-100,123,10,84,0.4041455296739003,0.15362480171064472,77,48,0,25,4
80-100,123,100,88,0.4081696502735332,0.13608047588570465,66,47,0,13,6
80-100,123,17,92,0.5263658265307788,0.08528085319304116,59,31,0,27,1
80-100,123,18,95,0.3827447067487349,0.1354766068804577,48,32,0,11,5
80-100,123,2,84,0.14478835658657235,0.028159570901776718,42,19,0,21,2
80-100,123,5,85,0.25935374149659934,0.08699633699633706,18,13,0,4,1
80-100,123,67,80,0.20551388710358037,0.11955826108987172,36,27,0,8,1
80-100,123,90,83,0.5024071704377713,0.18009100988630533,54,24,0,27,3
80-100,200,10,84,0.1681642705556748,0.11662688909800685,48,30,0,17,1
80-100,200,100,88,0.17355081203394163,0.1323949990944959,42,24,0,17,1
80-100,200,17,92,0.26120712331343204,0.08714434479257181,72,34,0,34,4
80-100,200,18,95,0.16406774119929185,0.16406774119929185,54,38,0,16,0
80-100,200,2,84,0.7922132923490246,0.16416200431403374,47,25,0,19,3
80-100,200,5,85,0.28291499221413785,0.08187953719681342,48,33,0,13,2
80-100,200,67,80,1.770331326580098,0.172929506191817,47,30,0,10,7
80-100,200,90,83,0.6951173826173848,0.16144724840377028,42,23,0,14,5
80-100,300,10,84,0.24071649266342343,0.24071649266342343,24,15,0,9,0
80-100,300,100,88,0.34916912982337905,0.13592679800234161,48,33,0,11,4
80-100,300,17,92,0.3687391430355472,0.14348870875696573,42,25,0,16,1
80-100,300,18,95,0.3096817115079149,0.14425628990636558,60,39,0,16,5
80-100,300,2,84,0.06707596990564298,0.06707596990564298,65,38,0,27,0
80-100,300,5,85,0.6145291242394433,0.0736914541786073,41,25,0,14,2
80-100,300,67,80,0.26328980488063747,0.09408140352473579,72,49,0,20,3
80-100,300,90,83,0.3429800746209411,0.07102061337355453,48,30,0,13,5
