band,seed,scenario_id,residual,mean_2hop,mean_degree,summed_propagation,property_fraction
30-40,100,19,1.8333333333333346,4.001855153611152,1.7246397755008436,-3.0633248031575704,0.3355865248452125
30-40,100,3,1.8148148148148149,4.175282043982595,1.8080226550513787,-2.523581574679844,0.32525118323576274
30-40,100,32,1.9269323671497598,3.9099164459005675,1.8436738182885744,-2.876432173187292,0.3395177153401828
30-40,100,44,1.9444444444444444,3.9579194616443067,1.7890077852038582,-3.530572199709253,0.33753569672414696
30-40,100,50,3.5069444444444446,3.3652582068871553,1.8172317305029202,-3.0590413334832665,0.3156496491183
30-40,100,64,1.9656862745098043,3.877063623802039,1.684594086707216,-4.044831116998485,0.3037871322563547
30-40,100,92,1.9490740740740742,3.8129446502730255,1.629220041832028,-2.8542038173283326,0.32572067524988213
30-40,123,15,3.4935064935064943,3.874800861494669,1.7547783344570964,-2.4441939542778552,0.3397883696537483
30-40,123,19,1.2471264367816108,3.3433571496231345,1.5130035589114872,-2.906740614017434,0.32732709176892144
30-40,123,3,3.73181818181818,4.094442128291662,1.9355313969416106,-2.6982411023411728,0.3368659932415103
30-40,123,32,3.3958333333333344,4.062150678985044,1.9742305109178175,-1.8204059782233342,0.36032917371879464
30-40,123,44,3.264880952380951,3.584655392426774,1.6623659972029747,-2.4129977366554325,0.33554886119098276
30-40,123,50,6.477634089463643,3.1122092860487305,1.6366665950979096,-2.448649044242971,0.3118448545815543
30-40,123,64,2.4529914529914523,3.488079306929499,1.4854730879623452,-2.7604891309794417,0.3209085537123652
30-40,123,92,2.770833333333335,3.1606985963935323,1.529732745549862,-2.213850832690633,0.33139710305201603
30-40,200,15,1.4756410256410268,5.638937880655811,2.2457635244479874,-2.729883948553629,0.324686058565847
30-40,200,19,1.4166666666666654,4.567455029759112,1.9744507689771815,-2.650663962292327,0.33144730729776345
30-40,200,3,0.930555555555554,5.042702117021648,2.0932033845927034,-2.3970925559191425,0.32707146184666197
30-40,200,32,1.261904761904763,4.743084488955881,2.0928221731334054,-2.9389638508981926,0.33929209772585595
30-40,200,44,1.3896634615384613,5.0744761762815696,2.06036112380038,-3.8292431413493517,0.3330100314428101
30-40,200,50,2.066666666666667,4.135849090566583,1.8520245810977234,-2.615466923796157,0.3222902034395026
30-40,200,64,1.7119047619047632,4.198087743100615,1.711411074623317,-3.219517480120776,0.3169374757479662
30-40,200,92,2.524999999999999,4.47325868518593,1.8683254076218472,-2.7080641516524944,0.32908968983921927
30-40,300,15,3.307692307692307,4.5149547204887766,1.885019240591996,-2.67160753229888,0.32645269454717823
30-40,300,19,1.266666666666668,3.773158949130816,1.5976412242889897,-2.463294414239628,0.3428598534877512
30-40,300,3,2.072222222222221,4.607705938568942,1.8592734063322298,-2.7067712699433866,0.327982933996108
30-40,300,32,1.0300813008130094,4.286854738971612,1.8574675659737578,-2.2792814511043766,0.33357443696093303
30-40,300,44,6.3190476190476215,3.0539887199939266,1.5578787029917254,-2.830656285777092,0.32703403816157145
30-40,300,50,3.6888888888888896,2.9982501243453257,1.611693224073255,-3.106704958763674,0.3310193676408287
30-40,300,64,3.1740740740740736,3.7358847739682983,1.5958082376560638,-3.4606346256239933,0.3235132240461937
30-40,300,92,6.376898297284859,2.9342414321209813,1.2024985687151994,-2.3909313530340404,0.31564453287136096
80-100,42,10,1.3722222222222227,2.1720315153206524,0.8207123158072142,-4.4628660271184035,0.3196330884058381
80-100,42,100,0.479166666666669,2.0257078212991275,0.8319947050775561,-4.326843164941522,0.31827095927855276
80-100,42,17,2.4399447768062577,1.6770110363797923,0.7066867535442073,-4.830702302544458,0.31097026481390827
80-100,42,18,1.9948717948717942,2.290047135879285,0.8676329576472778,-3.5166073323098184,0.3164085432295917
80-100,42,2,-0.8769230769230765,1.9846900237394869,0.7691821371646667,-3.999453680556097,0.3251083130336098
80-100,42,5,-1.186507936507937,1.7766921599326462,0.7808852491022991,-3.716947495192285,0.32916564739552917
80-100,42,67,2.6874999999999987,2.3671886072633987,0.9551202013379375,-3.4787325913464353,0.3234930859136959
80-100,42,90,0.27860169491525255,2.341719528901974,0.904895990844603,-4.318583192158638,0.3263116564863772
80-100,100,10,1.6535527900441576,2.221910892490366,0.8982861300890848,-4.085957952483872,0.32276039828510783
80-100,100,100,3.3541666666666665,2.0686215798742933,0.7826645761149269,-4.543032096307779,0.31047666995473383
80-100,100,17,-0.45925925925925953,2.0528929568252265,0.7531284657179836,-4.927951083122783,0.3194204053416005
80-100,100,18,0.8497652582159636,2.3864402326067355,0.8964932134562144,-3.6085782507221933,0.31744199715991955
80-100,100,2,-0.9333333333333333,1.9777613637739497,0.7917297525764345,-4.156751316394142,0.3236219596837892
80-100,100,5,-0.19597069597069453,2.242820370526224,0.8202014108928133,-3.800652308668076,0.32386897338003023
80-100,100,67,1.761770244821093,2.6022552548462645,0.9761343770481198,-3.2167982237121597,0.33013137564240425
80-100,100,90,2.472222222222223,2.290953685752784,0.8892015125948445,-4.253373691935213,0.3197172187405404
80-100,123,10,2.0324675324675336,1.7869513515791442,0.7892328063055276,-4.021649765666775,0.3215255929799153
80-100,123,100,2.231818181818181,2.104632749899941,0.8229317067362177,-4.983860795243707,0.30462057508088275
80-100,123,17,0.1721174504655017,2.200372807521818,0.782306063570725,-5.073542207841019,0.31600396026841493
80-100,123,18,2.055555555555555,2.271086119746248,0.9216872398937617,-3.0558400152394305,0.3211130234305702
80-100,123,2,0.23809523809523725,2.0655905787910673,0.8074954394410965,-4.257590349516141,0.3202371641204674
80-100,123,5,0.9555555555555542,1.990558407371273,0.7230282279989882,-4.090215906167407,0.3144449435580545
80-100,123,67,2.2013888888888875,2.791616739085976,1.0483067573661304,-3.4382352765164477,0.3184156435250895
80-100,123,90,0.029100529100528932,2.432004344843799,0.9639538471455994,-4.296062426061865,0.31248095582752833
80-100,200,10,1.1666666666666679,2.2432050512270343,0.8699048572658329,-4.198451914729223,0.3215914248019514
80-100,200,100,3.527777777777781,2.3119833676484256,1.026216710362577,-4.015998754857543,0.30687630002718747
80-100,200,17,1.324468085106382,1.957219328579062,0.8289740628875271,-4.855670146260045,0.31440169002000745
80-100,200,18,2.188552188552189,2.3165221138767937,0.9168786700692445,-3.045978157453263,0.31855672996795004
80-100,200,2,2.0181737588652506,1.8820006414729045,0.7864602167732674,-4.163164807919734,0.33459648836525596
80-100,200,5,2.236111111111112,1.9178321276303,0.7402370688266755,-3.693180499481789,0.33189343657013004
80-100,200,67,1.162986752308308,2.520551800850744,0.9443693495916097,-4.013125097528809,0.3217621281420104
80-100,200,90,0.6587301587301572,1.972013079963102,0.794424675771425,-4.514793813406223,0.31167489806195975
80-100,300,10,1.9666666666666661,2.047292473608263,0.9041030606820081,-4.22236338535049,0.3205140903141091
80-100,300,100,3.460488505747127,2.1466866915227016,0.8563143304353847,-4.33862417218585,0.3082132682359586
80-100,300,17,0.11904761904761668,2.198996645850914,0.8057733683789633,-4.772481301176898,0.3207481109059621
80-100,300,18,1.775,2.4016700029236207,0.9399002691650592,-3.114505037600948,0.3330917165997589
80-100,300,2,0.4362179487179511,2.302687268684711,0.8916960146462771,-3.6580686432181424,0.3261303389662729
80-100,300,5,0.7887556841670106,1.8805596361504486,0.770878528605088,-3.469341718736278,0.32445858896195123
80-100,300,67,2.686507936507935,2.5416236217193617,1.0370636845914756,-3.5794939849488236,0.31561050344353636
80-100,300,90,2.297619047619049,2.056458543445289,0.8639783067666195,-3.6006009450052936,0.3070823838577058
