run_id,seed,scenario_id,episode,step,departing_node,N,total_survivors,departing_node_degree,prop_norm,direct_norm,ratio,eligible_for_ratio
30-40_seed100,100,19,2,49,Node_19,30,29,3,0.04014396768816045,0.01154550658240117,3.4770209000055443,True
30-40_seed100,100,19,2,76,JoinNode_0_3_Node_5,30,29,0,0.0,0.02156466839052416,0.0,True
30-40_seed100,100,19,2,84,Node_2,29,28,6,0.1449386992617401,0.015541237139799317,9.326072175462068,True
30-40_seed100,100,19,2,91,JoinNode_1_17_Node_2,28,27,0,0.0,0.025640043328940598,0.0,True
30-40_seed100,100,19,2,96,Node_7,27,26,0,0.0,0.029957067214901382,0.0,True
30-40_seed100,100,19,2,119,Node_16,26,25,0,0.0,0.024739945066660277,0.0,True
30-40_seed100,100,19,2,137,Node_30,25,24,0,0.0,0.034784777722178126,0.0,True
30-40_seed100,100,19,2,195,Node_17,24,23,4,0.09733379656890356,0.03761705143291046,2.587491386519147,True
30-40_seed100,100,19,2,200,Node_25,23,22,2,0.0,0.0344085745098733,0.0,True
30-40_seed100,100,19,2,271,Node_11,22,21,1,0.0,0.03470751413783587,0.0,True
30-40_seed100,100,19,3,22,Node_26,29,28,0,0.0,0.015471275406694943,0.0,True
30-40_seed100,100,19,3,26,Node_16,28,27,0,0.0,0.01517287237008924,0.0,True
30-40_seed100,100,19,3,43,Node_29,29,28,0,0.0,0.023912123232699617,0.0,True
30-40_seed100,100,19,3,65,Node_10,28,27,1,0.0,0.03874447229681105,0.0,True
30-40_seed100,100,19,3,73,Node_20,27,26,0,0.0,0.035007168049704086,0.0,True
30-40_seed100,100,19,3,123,Node_11,25,24,4,0.08003289919234804,0.018002645038283267,4.4456189088967335,True
30-40_seed100,100,19,3,151,Node_30,24,23,0,0.0,0.03810328289019957,0.0,True
30-40_seed100,100,19,3,231,Node_24,23,22,5,0.11450283504426322,0.02491674905846071,4.595416311157282,True
30-40_seed100,100,19,3,244,Node_17,22,21,3,0.020298192331154256,0.02750625763121183,0.737948164497723,True
30-40_seed100,100,19,4,12,Node_26,32,31,0,0.0,0.016440867478682956,0.0,True
30-40_seed100,100,19,4,24,Node_24,31,30,0,0.0,0.010462311236947021,0.0,True
30-40_seed100,100,19,4,60,JoinNode_1_18_Node_15,30,29,0,0.0,0.019232053080752813,0.0,True
30-40_seed100,100,19,4,81,Node_18,29,28,0,0.0,0.02677140648476747,0.0,True
30-40_seed100,100,19,4,85,Node_14,28,27,0,0.0,0.030937499783229568,0.0,True
30-40_seed100,100,19,4,99,Node_16,27,26,0,0.0,0.030617420584152687,0.0,True
30-40_seed100,100,19,4,130,Node_25,26,25,5,0.07808578613702621,0.055394268889151325,1.4096365509089497,True
30-40_seed100,100,19,4,159,Node_31,23,22,0,0.0,0.03542998524236034,0.0,True
30-40_seed100,100,19,4,192,Node_8,22,21,4,0.03125497952648137,0.03116313697990944,1.0029471534470724,True
30-40_seed100,100,19,4,197,Node_3,21,20,2,0.02590823250393818,0.04850311377506308,0.5341560672597145,True
30-40_seed100,100,19,4,204,Node_21,20,19,0,0.0,0.04404667124647311,0.0,True
30-40_seed100,100,19,4,299,Node_17,19,18,6,0.2623985922386297,0.03938071876628776,6.663123489337085,True
30-40_seed100,100,19,5,4,Node_26,28,27,0,0.0,0.01533699621850007,0.0,True
30-40_seed100,100,19,5,19,Node_30,27,26,0,0.0,0.023798183298338237,0.0,True
30-40_seed100,100,19,5,22,Node_22,26,25,0,0.0,0.026820413309452614,0.0,True
30-40_seed100,100,19,5,50,Node_13,24,23,5,0.13532398568847492,0.05738826385279467,2.3580428576057186,True
30-40_seed100,100,19,5,58,Node_9,23,22,0,0.0,0.028064300690900244,0.0,True
30-40_seed100,100,19,5,59,Node_25,22,21,0,0.0,0.036918713627807444,0.0,True
30-40_seed100,100,19,5,81,Node_3,23,22,0,0.0,0.037001117712407654,0.0,True
30-40_seed100,100,19,5,88,Node_31,22,21,0,0.0,0.03403489717871679,0.0,True
30-40_seed100,100,19,5,224,Node_21,21,20,4,0.07104241094115361,0.041034071642876827,1.7313029903403696,True
30-40_seed100,100,19,5,226,Node_12,20,19,2,0.09258680094525235,0.029939646653135688,3.0924480177709577,True
30-40_seed100,100,3,0,62,Node_13,30,29,0,0.0,0.026223099096186385,0.0,True
30-40_seed100,100,3,0,64,Node_31,29,28,0,0.0,0.02550788242406707,0.0,True
30-40_seed100,100,3,0,99,Node_15,28,27,0,0.0,0.03311272025929061,0.0,True
30-40_seed100,100,3,0,109,Node_29,27,26,2,0.028795877754989933,0.0364151300919838,0.7907668510932734,True
30-40_seed100,100,3,0,155,Node_26,21,20,3,0.0,0.030584849413318054,0.0,True
30-40_seed100,100,3,1,32,JoinNode_0_8_Node_4,2,1,1,2.338050962135249e-07,0.2614991172615993,8.940951643046284e-07,True
30-40_seed100,100,3,1,82,Node_13,15,14,0,0.0,0.05534205499146842,0.0,True
30-40_seed100,100,3,1,90,Node_15,14,13,0,0.0,0.06421727115380707,0.0,True
30-40_seed100,100,3,1,123,Node_25,11,10,4,0.19854021097904473,0.14705338101122303,1.3501234015414596,True
30-40_seed100,100,3,1,129,Node_20,22,21,0,0.0,0.018649198524264544,0.0,True
30-40_seed100,100,3,1,139,JoinNode_2_2_Node_4,26,25,0,0.0,0.023595949099781584,0.0,True
30-40_seed100,100,3,1,140,Node_12,25,24,0,0.0,0.014028106265839658,0.0,True
30-40_seed100,100,3,1,146,Node_4,24,23,0,0.0,0.03206486619835392,0.0,True
30-40_seed100,100,3,1,158,Node_3,24,23,0,0.0,0.017561800336810957,0.0,True
30-40_seed100,100,3,1,162,Node_19,23,22,0,0.0,0.03148728316582713,0.0,True
30-40_seed100,100,3,1,192,Node_29,22,21,0,0.0,0.04589355226148819,0.0,True
30-40_seed100,100,3,1,218,Node_22,21,20,0,0.0,0.04162922498020044,0.0,True
30-40_seed100,100,3,1,225,Node_31,20,19,3,0.0702350110313115,0.036549842001906696,1.9216228356786753,True
30-40_seed100,100,3,1,245,Node_21,19,18,0,0.0,0.06797166096559006,0.0,True
30-40_seed100,100,3,2,28,Node_29,23,22,0,0.0,0.028469023859860616,0.0,True
30-40_seed100,100,3,2,49,Node_15,27,26,0,0.0,0.02716540900793481,0.0,True
30-40_seed100,100,3,2,105,Node_25,26,25,4,0.12602092562375214,0.024276584314761075,5.191048460105102,True
30-40_seed100,100,3,2,170,Node_23,25,24,5,0.07904606657763928,0.013756894196122903,5.745923858302028,True
30-40_seed100,100,3,2,183,Node_1,24,23,1,0.09033566527978659,0.04276701961130001,2.112274039688234,True
30-40_seed100,100,3,2,191,Node_28,23,22,2,0.0822936051109716,0.029410134552194652,2.7981376611835547,True
30-40_seed100,100,3,2,237,Node_4,22,21,2,0.021676376597915364,0.024176000737926407,0.8966072111302625,True
30-40_seed100,100,3,2,240,Node_7,21,20,3,0.0960023559916114,0.05817378975949649,1.6502682116552265,True
30-40_seed100,100,3,3,30,Node_17,23,22,0,0.0,0.027400113138811237,0.0,True
30-40_seed100,100,3,3,55,Node_12,22,21,0,0.0,0.015399100845090342,0.0,True
30-40_seed100,100,3,3,88,Node_21,21,20,3,0.12483409881703818,0.07206819783631231,1.7321662337189625,True
30-40_seed100,100,3,3,114,Node_13,24,23,0,0.0,0.035027067341034154,0.0,True
30-40_seed100,100,3,3,136,Node_16,23,22,0,0.0,0.02317092956265668,0.0,True
30-40_seed100,100,3,3,160,Node_1,22,21,0,0.0,0.045740253197074816,0.0,True
30-40_seed100,100,3,3,196,Node_30,21,20,2,0.04131900081465154,0.0355200496590793,1.1632585317653115,True
30-40_seed100,100,3,4,7,Node_13,24,23,0,0.0,0.02473968871329865,0.0,True
