band,seed,topo,episode,att_strength,n_valid_events,behavioural_residual_episode,root_owned_departures,final_root_owned_count,root_owned_static_cell
10-15,42,76,0,0.5752453453838825,10,0.5,2,4,6.5
10-15,42,76,1,0.9344769772142172,8,-0.5,3,4,6.5
10-15,42,76,2,0.62500951141119,10,0.5,1,5,6.5
10-15,42,76,3,0.4426784887909889,10,-0.5,1,6,6.5
10-15,42,76,4,0.40206029918044806,8,1.5,1,4,6.5
10-15,42,76,5,0.7288459816149303,7,0.5,3,3,6.5
10-15,42,76,6,0.6124614162577523,9,-1.5,4,4,6.5
10-15,42,76,7,0.4289154866710305,8,-1.5,3,5,6.5
10-15,42,76,8,0.31443739140575583,11,-2.5,2,7,6.5
10-15,42,76,9,0.5094939534153257,7,-0.5,1,6,6.5
10-15,42,76,10,0.47135692369192833,8,-0.5,0,7,6.5
10-15,42,76,11,0.38415727981676656,12,-1.5,3,5,6.5
10-15,42,76,12,0.620285916245646,9,1.5,0,5,6.5
10-15,42,76,13,0.3675176505930722,8,1.5,0,5,6.5
10-15,42,76,14,0.6157805016264319,8,0.5,1,5,6.5
10-15,42,76,15,0.5064913133780161,9,-0.5,2,5,6.5
10-15,42,76,16,0.681327224522829,10,-0.5,3,4,6.5
10-15,42,76,17,0.5090053854510188,8,0.5,1,5,6.5
10-15,42,76,18,0.46161128394305706,8,0.5,2,4,6.5
10-15,42,76,19,0.539123090604941,9,0.5,0,6,6.5
10-15,42,76,20,0.43663842313819456,9,1.5,1,4,6.5
10-15,42,76,21,0.21914509683847427,10,-1.5,2,6,6.5
10-15,42,76,22,0.8093526110053062,10,-0.5,1,6,6.5
10-15,100,1,0,0.6337914152277839,9,1.1875,1,6,8.1875
10-15,100,1,1,0.17574303348859152,9,0.1875,2,6,8.1875
10-15,100,1,2,0.7720202973319424,9,-1.8125,1,9,8.1875
10-15,100,1,3,0.3560556131932471,9,4.1875,0,4,8.1875
