band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility
30-40,42,15,42,78,36,True,35,True,26.452380952380953,4.606227106227106,1.4743589743589745,3.1318681318681314,0.7557823129251701,0.11839645503011838
30-40,42,19,48,37,31,True,29,True,23.229166666666668,3.9318693693693696,2.135135135135135,1.7967342342342345,0.8010057471264368,0.07734820021815539
30-40,42,3,54,30,32,True,29,True,26.09259259259259,5.49259259259259,2.7666666666666666,2.7259259259259236,0.8997445721583652,0.10447125621007798
30-40,42,32,53,54,33,True,30,True,24.735849056603772,4.735849056603772,1.462962962962963,3.2728860936408095,0.8245283018867924,0.132313472893183
30-40,42,44,78,36,34,True,32,True,24.756410256410255,3.0619658119658126,1.7777777777777777,1.284188034188035,0.7736378205128205,0.05187295011220442
30-40,42,50,53,35,33,True,28,True,20.735849056603772,2.421563342318059,1.2,1.2215633423180592,0.7405660377358491,0.058910698037176655
30-40,42,64,42,30,33,True,30,True,24.666666666666668,3.033333333333335,1.4666666666666666,1.5666666666666684,0.8222222222222223,0.06351351351351359
30-40,42,92,30,30,30,True,28,True,22.5,4.633333333333333,2.7666666666666666,1.8666666666666663,0.8035714285714286,0.08296296296296295
30-40,100,15,41,47,36,True,35,True,23.78048780487805,4.0570835495589,1.148936170212766,2.908147379346134,0.6794425087108014,0.12229132569558102
30-40,100,19,54,24,31,True,29,True,22.166666666666668,3.75,1.9166666666666667,1.8333333333333333,0.764367816091954,0.08270676691729323
30-40,100,3,42,54,32,True,29,True,23.0,3.1296296296296298,1.3148148148148149,1.8148148148148149,0.7931034482758621,0.07890499194847021
30-40,100,32,138,72,33,True,30,True,21.41304347826087,3.1491545893719817,1.2222222222222223,1.9269323671497594,0.713768115942029,0.08998871968415119
30-40,100,44,12,36,34,True,32,True,23.5,3.666666666666668,1.7222222222222223,1.9444444444444455,0.734375,0.08274231678487003
30-40,100,50,48,36,33,True,28,True,20.8125,4.868055555555555,1.3611111111111112,3.506944444444444,0.7433035714285714,0.1685018351685018
