band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility,source,degree,population,n_mech_removal_episodes
10-15,123,54.0,60,6,11,True,10,True,10.283333333333331,2.283333333333333,2.0,0.2833333333333332,1.028333333333333,0.0275526742301458,main_study,8.727272727272727,,
10-15,123,61.0,30,18,10,True,9,True,8.166666666666666,2.3888888888888884,1.9444444444444444,0.444444444444444,0.9074074074074072,0.0544217687074829,main_study,6.7,,
10-15,123,62.0,42,12,10,True,9,True,5.5,0.333333333333333,1.0,-0.666666666666667,0.6111111111111112,-0.1212121212121212,main_study,8.5,,
10-15,123,76.0,30,30,12,True,10,True,6.466666666666667,1.2666666666666666,1.3666666666666667,-0.1,0.6466666666666667,-0.0154639175257732,main_study,7.833333333333333,,
10-15,200,1.0,66,12,10,True,9,True,7.46969696969697,2.8863636363636367,1.5,1.386363636363637,0.82996632996633,0.1855983772819473,main_study,6.2,,
10-15,200,29.0,54,12,12,True,11,True,11.203703703703704,3.037037037037038,2.083333333333333,0.9537037037037046,1.0185185185185186,0.0851239669421488,main_study,9.0,,
10-15,200,4.0,66,12,10,True,9,True,5.96969696969697,0.9696969696969696,1.0833333333333333,-0.1136363636363635,0.6632996632996633,-0.0190355329949238,main_study,7.8,,
10-15,200,45.0,48,12,10,True,9,True,6.958333333333333,1.875,2.1666666666666665,-0.2916666666666665,0.7731481481481481,-0.0419161676646706,main_study,6.3,,
10-15,200,54.0,48,18,11,True,10,True,10.75,3.0277777777777777,2.0,1.0277777777777777,1.075,0.0956072351421188,main_study,8.727272727272727,,
10-15,200,61.0,30,31,10,True,9,True,8.066666666666666,1.7763440860215054,1.2903225806451613,0.4860215053763441,0.8962962962962963,0.0602505998400426,main_study,6.7,,
10-15,200,62.0,34,17,10,True,9,True,5.352941176470588,0.8235294117647056,1.1176470588235294,-0.2941176470588238,0.5947712418300654,-0.054945054945055,main_study,8.5,,
10-15,200,76.0,54,6,12,True,10,True,6.425925925925926,1.0925925925925926,1.1666666666666667,-0.0740740740740741,0.6425925925925926,-0.0115273775216138,main_study,7.833333333333333,,
10-15,300,1.0,30,18,10,True,9,True,8.333333333333334,2.722222222222223,2.333333333333333,0.3888888888888897,0.925925925925926,0.0466666666666667,main_study,6.2,,
10-15,300,29.0,54,24,12,True,11,True,11.61111111111111,3.9027777777777777,2.375,1.5277777777777777,1.0555555555555556,0.131578947368421,main_study,9.0,,
10-15,300,4.0,42,18,10,True,9,True,6.071428571428571,1.5714285714285712,1.2222222222222223,0.3492063492063488,0.6746031746031745,0.0575163398692809,main_study,7.8,,
10-15,300,45.0,54,23,10,True,9,True,7.148148148148148,2.017713365539453,1.8695652173913044,0.1481481481481481,0.794238683127572,0.0207253886010362,main_study,6.3,,
10-15,300,54.0,59,23,11,True,10,True,10.559322033898304,2.9506263817243914,2.260869565217391,0.6897568165070003,1.0559322033898304,0.0653220741154302,main_study,8.727272727272727,,
10-15,300,61.0,84,18,10,True,9,True,8.154761904761905,2.432539682539683,1.7222222222222223,0.7103174603174605,0.9060846560846562,0.0871046228710462,main_study,6.7,,
