N,total_survivors,two_hop_survivors,coverage_frac,full_coverage,prop_allsurv_norm,prop_2hoponly_norm,denom_ratio,direct_norm,hbar_check_diff
5,4,3,0.75,False,0.2696895334316695,0.3595860445755593,1.3333333333333333,,
9,8,3,0.375,False,0.20351541991005176,0.5427077864268047,2.6666666666666665,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,2,0.4,False,0.0,0.0,2.5,,
5,4,4,1.0,True,0.5746383718388489,0.5746383718388489,1.0,0.14274090256883523,3.362005618345876e-08
4,3,2,0.6666666666666666,False,0.3173979613250878,0.4760969419876317,1.5,,
4,3,3,1.0,True,0.3379099552532025,0.3379099552532025,1.0,0.1120187619588297,3.060315378888845e-08
9,8,4,0.5,False,0.28572027720736537,0.5714405544147307,2.0,,
8,7,4,0.5714285714285714,False,0.0,0.0,1.75,,
7,6,4,0.6666666666666666,False,0.0,0.0,1.5,,
6,5,4,0.8,False,0.11043050026952037,0.13803812533690044,1.25,,
5,4,4,1.0,True,0.10047086424353285,0.10047086424353285,1.0,0.06387557304426633,5.648869683128055e-08
4,3,3,1.0,True,0.9163871191577472,0.9163871191577472,1.0,0.19269215491773053,1.1347157435892541e-08
10,9,4,0.4444444444444444,False,0.0,0.0,2.25,,
9,8,5,0.625,False,0.08741844211960115,0.13986950739136184,1.6,,
8,7,7,1.0,True,0.1792230604555076,0.1792230604555076,1.0,0.05135774330215425,2.5221007282638652e-08
8,7,6,0.8571428571428571,False,0.0,0.0,1.1666666666666667,,
8,7,7,1.0,True,0.5589871936615004,0.5589871936615004,1.0,0.04596031669868495,2.5759190114271746e-08
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,5,1.0,True,0.5807318561614859,0.5807318561614859,1.0,0.07206073989926955,1.0694962027102406e-08
5,4,2,0.5,False,0.2561014564151747,0.5122029128303494,2.0,,
7,6,4,0.6666666666666666,False,0.12548271660675475,0.18822407491013213,1.5,,
6,5,4,0.8,False,0.0,0.0,1.25,,
9,8,4,0.5,False,0.18550017780534964,0.3710003556106993,2.0,,
7,6,5,0.8333333333333334,False,0.0,0.0,1.2,,
10,9,5,0.5555555555555556,False,0.12190209326920523,0.21942376788456944,1.8,,
9,8,5,0.625,False,0.037759728978826526,0.06041556636612244,1.6,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,4,0.6666666666666666,False,0.1107905472590396,0.1661858208885594,1.5,,
6,5,5,1.0,True,0.3721285793422135,0.3721285793422135,1.0,0.07594401147243778,7.159855019978068e-08
5,4,4,1.0,True,0.6237369826145581,0.6237369826145581,1.0,0.12660907063998622,7.432734894230464e-08
8,7,5,0.7142857142857143,False,0.06753316974124046,0.09454643763773662,1.4,,
7,6,5,0.8333333333333334,False,0.23997550374397447,0.28797060449276934,1.2,,
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
6,5,5,1.0,True,0.5103755486968384,0.5103755486968384,1.0,0.07762488471081001,1.792230808206341e-09
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
5,4,4,1.0,True,0.17267107406920745,0.17267107406920745,1.0,0.06488759430877707,6.880424052724265e-08
4,3,3,1.0,True,0.5073327464866145,0.5073327464866145,1.0,0.19085004814200157,1.1787019693620948e-08
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,5,1.0,True,0.7118476029614474,0.7118476029614474,1.0,0.1566201421506764,3.066946030472195e-08
5,4,3,0.75,False,0.255269646164173,0.34035952821889737,1.3333333333333333,,
6,5,3,0.6,False,0.0,0.0,1.6666666666666667,,
4,3,3,1.0,True,0.7486330926678817,0.7486330926678817,1.0,0.20208559495826808,6.827116338925521e-08
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
5,4,4,1.0,True,0.2492259283589663,0.2492259283589663,1.0,0.1159992379151939,7.581294325653687e-08
8,7,5,0.7142857142857143,False,0.12923598319211893,0.1809303764689665,1.4,,
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
9,8,4,0.5,False,0.08195500977398489,0.16391001954796977,2.0,,
8,7,3,0.42857142857142855,False,0.16619539588864368,0.3877892570735019,2.3333333333333335,,
7,6,3,0.5,False,0.0,0.0,2.0,,
9,8,4,0.5,False,0.0,0.0,2.0,,
8,7,3,0.42857142857142855,False,0.1243195726565103,0.29007900286519067,2.3333333333333335,,
9,8,3,0.375,False,0.0,0.0,2.6666666666666665,,
9,8,2,0.25,False,0.0435257027692857,0.1741028110771428,4.0,,
7,6,2,0.3333333333333333,False,2.9639989031356358e-08,8.891996709406907e-08,3.0,,
6,5,2,0.4,False,0.0,0.0,2.5,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,2,0.4,False,0.0,0.0,2.5,,
7,6,3,0.5,False,0.10065608237303383,0.20131216474606767,2.0,,
9,8,4,0.5,False,0.09516601222794925,0.1903320244558985,2.0,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
5,4,3,0.75,False,0.23849522187903585,0.3179936291720478,1.3333333333333333,,
6,5,1,0.2,False,0.0,0.0,5.0,,
6,5,4,0.8,False,0.4512327814102391,0.5640409767627989,1.25,,
4,3,1,0.3333333333333333,False,9.6651985934295e-08,2.8995595780288504e-07,3.0,,
9,8,4,0.5,False,0.0,0.0,2.0,,
8,7,5,0.7142857142857143,False,0.21372047088502888,0.2992086592390404,1.4,,
7,6,3,0.5,False,0.0,0.0,2.0,,
5,4,2,0.5,False,1.7992245034258915e-07,3.598449006851783e-07,2.0,,
4,3,2,0.6666666666666666,False,2.1185776168546167e-07,3.177866425281925e-07,1.5,,
3,2,2,1.0,True,0.0,0.0,1.0,0.5190355279881891,7.080428043870768e-08
9,8,2,0.25,False,0.0,0.0,4.0,,
8,7,4,0.5714285714285714,False,0.11347755263118833,0.1985857171045796,1.75,,
7,6,3,0.5,False,0.0,0.0,2.0,,
5,4,3,0.75,False,0.10988015886087514,0.14650687848116686,1.3333333333333333,,
10,9,1,0.1111111111111111,False,0.05188384975132698,0.4669546477619429,9.0,,
7,6,3,0.5,False,0.5026738432457754,1.0053476864915507,2.0,,
7,6,3,0.5,False,0.45242533746298913,0.9048506749259783,2.0,,
6,5,3,0.6,False,0.23499609903028615,0.3916601650504769,1.6666666666666667,,
9,8,3,0.375,False,0.0,0.0,2.6666666666666665,,
6,5,3,0.6,False,0.22595074481766952,0.3765845746961159,1.6666666666666667,,
7,6,3,0.5,False,0.17922418960529377,0.35844837921058753,2.0,,
5,4,3,0.75,False,0.9629541257890815,1.2839388343854419,1.3333333333333333,,
8,7,4,0.5714285714285714,False,0.3675746280220251,0.643255599038544,1.75,,
6,5,2,0.4,False,0.0,0.0,2.5,,
9,8,4,0.5,False,0.20006979588933888,0.40013959177867775,2.0,,
5,4,3,0.75,False,0.6149240505013275,0.81989873400177,1.3333333333333333,,
4,3,2,0.6666666666666666,False,0.3331151198653776,0.4996726797980664,1.5,,
11,10,5,0.5,False,0.0,0.0,2.0,,
5,4,4,1.0,True,0.6862216008637213,0.6862216008637213,1.0,0.0657173550261354,8.038130294707457e-08
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,2,0.4,False,0.0,0.0,2.5,,
5,4,2,0.5,False,0.0,0.0,2.0,,
5,4,3,0.75,False,0.15197486902478996,0.20263315869971996,1.3333333333333333,,
7,6,1,0.16666666666666666,False,4.0412879583708116e-08,2.4247727750224867e-07,6.0,,
8,7,4,0.5714285714285714,False,0.0,0.0,1.75,,
5,4,3,0.75,False,0.6304920067336545,0.840656008978206,1.3333333333333333,,
6,5,3,0.6,False,0.0,0.0,1.6666666666666667,,
6,5,3,0.6,False,0.4621249204925576,0.7702082008209293,1.6666666666666667,,
8,7,3,0.42857142857142855,False,0.2132778871026944,0.4976484032396203,2.3333333333333335,,
8,7,2,0.2857142857142857,False,0.08024399160256762,0.28085397060898665,3.5,,
7,6,3,0.5,False,0.0,0.0,2.0,,
6,5,2,0.4,False,1.4485315567241058e-07,3.621328891810265e-07,2.5,,
7,6,5,0.8333333333333334,False,0.5864557508306184,0.7037469009967421,1.2,,
6,5,4,0.8,False,0.20731724201294038,0.25914655251617547,1.25,,
7,6,4,0.6666666666666666,False,0.2997877074133934,0.44968156112009006,1.5,,
6,5,2,0.4,False,0.1328144280357808,0.332036070089452,2.5,,
6,5,2,0.4,False,0.0,0.0,2.5,,
11,10,6,0.6,False,0.4709221318440418,0.7848702197400697,1.6666666666666667,,
10,9,2,0.2222222222222222,False,0.0,0.0,4.5,,
10,9,3,0.3333333333333333,False,0.0,0.0,3.0,,
9,8,5,0.625,False,0.27952185306038907,0.44723496489662257,1.6,,
8,7,1,0.14285714285714285,False,4.491362123303026e-08,3.1439534863121183e-07,7.0,,
6,5,1,0.2,False,0.0,0.0,5.0,,
5,4,2,0.5,False,1.9359094469003596e-07,3.871818893800719e-07,2.0,,
8,7,3,0.42857142857142855,False,0.05634110254010284,0.1314625725935733,2.3333333333333335,,
7,6,3,0.5,False,0.0,0.0,2.0,,
6,5,5,1.0,True,0.18040719608141753,0.18040719608141753,1.0,0.12838136702987726,1.048773978773454e-08
9,8,4,0.5,False,0.07228354383258598,0.14456708766517196,2.0,,
8,7,4,0.5714285714285714,False,0.0,0.0,1.75,,
7,6,4,0.6666666666666666,False,0.0,0.0,1.5,,
10,9,3,0.3333333333333333,False,0.0,0.0,3.0,,
9,8,2,0.25,False,0.0,0.0,4.0,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
7,6,5,0.8333333333333334,False,0.0,0.0,1.2,,
6,5,3,0.6,False,0.0,0.0,1.6666666666666667,,
5,4,4,1.0,True,0.0,0.0,1.0,0.07982062326884866,9.848586168814677e-09
4,3,3,1.0,True,3.0333237256745774e-07,3.0333237256745774e-07,1.0,0.13563247300183007,6.462891621872302e-08
4,3,1,0.3333333333333333,False,1.4702717969371262e-07,4.4108153908113787e-07,3.0,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
5,4,4,1.0,True,0.0,0.0,1.0,0.2505915813187907,5.621519783005624e-08
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,5,0.8333333333333334,False,0.49466962202564263,0.5936035464307712,1.2,,
7,6,4,0.6666666666666666,False,0.0,0.0,1.5,,
6,5,5,1.0,True,0.2676044557098767,0.2676044557098767,1.0,0.1396540393284719,7.304848570477418e-08
5,4,4,1.0,True,0.700861599612281,0.700861599612281,1.0,0.273430222638731,6.607401248359679e-08
4,3,3,1.0,True,1.6840441401485784,1.6840441401485784,1.0,0.4142193047516521,8.92642086913753e-08
9,8,4,0.5,False,0.16267619640582584,0.3253523928116517,2.0,,
10,9,5,0.5555555555555556,False,0.06938567326829567,0.12489421188293219,1.8,,
9,8,6,0.75,False,0.3413686399865849,0.45515818664877983,1.3333333333333333,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,4,0.6666666666666666,False,0.20426769012727108,0.3064015351909066,1.5,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
8,7,6,0.8571428571428571,False,0.0,0.0,1.1666666666666667,,
6,5,5,1.0,True,0.2126652159116658,0.2126652159116658,1.0,0.07751718676477028,7.50707340735346e-08
5,4,3,0.75,False,0.0,0.0,1.3333333333333333,,
7,6,5,0.8333333333333334,False,0.32856869340603073,0.3942824320872369,1.2,,
6,5,4,0.8,False,0.12370500126423818,0.15463125158029772,1.25,,
9,8,3,0.375,False,0.15040549689063717,0.4010813250416991,2.6666666666666665,,
8,7,3,0.42857142857142855,False,0.13586950371463807,0.3170288420008222,2.3333333333333335,,
6,5,5,1.0,True,1.0113932628594853,1.0113932628594853,1.0,0.10703854529423092,1.710596597703784e-08
5,4,4,1.0,True,0.08859628007939861,0.08859628007939861,1.0,0.09480488998533455,1.5027403987843968e-08
6,5,4,0.8,False,0.13876768355958685,0.17345960444948355,1.25,,
5,4,3,0.75,False,7.87092432809995e-08,1.0494565770799935e-07,1.3333333333333333,,
7,6,5,0.8333333333333334,False,0.2690639938301702,0.3228767925962043,1.2,,
6,5,5,1.0,True,0.22534635851966053,0.22534635851966053,1.0,0.08860759244832792,4.729096891864515e-09
10,9,6,0.6666666666666666,False,0.16821684496852338,0.25232526745278505,1.5,,
9,8,2,0.25,False,0.0,0.0,4.0,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
7,6,4,0.6666666666666666,False,0.2510919014325739,0.3766378521488609,1.5,,
6,5,4,0.8,False,0.17618804935892543,0.22023506169865678,1.25,,
5,4,2,0.5,False,0.1819777912611224,0.3639555825222448,2.0,,
4,3,3,1.0,True,0.8769627459102708,0.8769627459102708,1.0,0.08538882154564396,1.5692295018965297e-08
6,5,2,0.4,False,0.0,0.0,2.5,,
5,4,4,1.0,True,0.42396598949214964,0.42396598949214964,1.0,0.20152764706476067,2.6565884936324835e-08
8,7,4,0.5714285714285714,False,0.0,0.0,1.75,,
7,6,3,0.5,False,0.33366692650390595,0.6673338530078119,2.0,,
7,6,4,0.6666666666666666,False,0.0993029122572608,0.14895436838589118,1.5,,
7,6,5,0.8333333333333334,False,0.0,0.0,1.2,,
6,5,5,1.0,True,0.927454627956824,0.927454627956824,1.0,0.2130062266396264,5.657273516312955e-08
10,9,7,0.7777777777777778,False,0.33248140067914045,0.4274760865874663,1.2857142857142858,,
9,8,2,0.25,False,0.0,0.0,4.0,,
8,7,3,0.42857142857142855,False,0.0,0.0,2.3333333333333335,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,3,0.6,False,0.3717097334555417,0.6195162224259028,1.6666666666666667,,
5,4,1,0.25,False,0.0,0.0,4.0,,
4,3,2,0.6666666666666666,False,0.3954485530704646,0.593172829605697,1.5,,
9,8,2,0.25,False,0.17786495299522678,0.7114598119809071,4.0,,
8,7,2,0.2857142857142857,False,0.0,0.0,3.5,,
