N,total_survivors,two_hop_survivors,coverage_frac,full_coverage,prop_allsurv_norm,prop_2hoponly_norm,denom_ratio,direct_norm,hbar_check_diff
6,5,3,0.6,False,0.101316162135607,0.16886027022601166,1.6666666666666667,,
4,3,2,0.6666666666666666,False,0.18172488961912503,0.27258733442868754,1.5,,
4,3,2,0.6666666666666666,False,0.7658475197579651,1.1487712796369476,1.5,,
8,7,4,0.5714285714285714,False,0.0,0.0,1.75,,
7,6,2,0.3333333333333333,False,0.0,0.0,3.0,,
6,5,4,0.8,False,0.17242105835642665,0.21552632294553334,1.25,,
5,4,4,1.0,True,0.0,0.0,1.0,0.06057087125955574,6.674834107656125e-08
7,6,3,0.5,False,0.48602433957744834,0.9720486791548967,2.0,,
6,5,1,0.2,False,5.4527967435900026e-08,2.7263983717950013e-07,5.0,,
6,5,3,0.6,False,0.0,0.0,1.6666666666666667,,
7,6,3,0.5,False,1.0439416283476761e-07,2.0878832566953523e-07,2.0,,
6,5,2,0.4,False,0.0,0.0,2.5,,
6,5,3,0.6,False,0.0,0.0,1.6666666666666667,,
6,5,4,0.8,False,0.1407405245764524,0.1759256557205655,1.25,,
5,4,4,1.0,True,0.2620255627659758,0.2620255627659758,1.0,0.09086318511967274,1.8294711212618608e-07
9,8,4,0.5,False,0.0,0.0,2.0,,
8,7,5,0.7142857142857143,False,0.10286801424639233,0.14401521994494929,1.4,,
7,6,5,0.8333333333333334,False,0.15984691547492913,0.19181629856991497,1.2,,
6,5,4,0.8,False,0.08935668988520652,0.11169586235650814,1.25,,
